threshold,tp,tn,fp,fn,accuracy,balanced_accuracy,answer_precision,answer_recall,answer_f1,refusal_precision,refusal_recall,unsafe_accept_rate,false_refusal_rate
0.78,14,10,0,2,0.9231,0.9375,1.0,0.875,0.9333,0.8333,1.0,0.0,0.125
0.7827,14,10,0,2,0.9231,0.9375,1.0,0.875,0.9333,0.8333,1.0,0.0,0.125
0.7892,14,10,0,2,0.9231,0.9375,1.0,0.875,0.9333,0.8333,1.0,0.0,0.125
0.7894,13,10,0,3,0.8846,0.9062,1.0,0.8125,0.8966,0.7692,1.0,0.0,0.1875
0.7896,13,10,0,3,0.8846,0.9062,1.0,0.8125,0.8966,0.7692,1.0,0.0,0.1875
0.79,12,10,0,4,0.8462,0.875,1.0,0.75,0.8571,0.7143,1.0,0.0,0.25
0.7945,12,10,0,4,0.8462,0.875,1.0,0.75,0.8571,0.7143,1.0,0.0,0.25
0.7994,12,10,0,4,0.8462,0.875,1.0,0.75,0.8571,0.7143,1.0,0.0,0.25
0.8,11,10,0,5,0.8077,0.8438,1.0,0.6875,0.8148,0.6667,1.0,0.0,0.3125
0.8004,11,10,0,5,0.8077,0.8438,1.0,0.6875,0.8148,0.6667,1.0,0.0,0.3125
0.8014,11,10,0,5,0.8077,0.8438,1.0,0.6875,0.8148,0.6667,1.0,0.0,0.3125
0.8071,10,10,0,6,0.7692,0.8125,1.0,0.625,0.7692,0.625,1.0,0.0,0.375
0.81,10,10,0,6,0.7692,0.8125,1.0,0.625,0.7692,0.625,1.0,0.0,0.375
0.8128,10,10,0,6,0.7692,0.8125,1.0,0.625,0.7692,0.625,1.0,0.0,0.375
0.81285,9,10,0,7,0.7308,0.7812,1.0,0.5625,0.72,0.5882,1.0,0.0,0.4375
0.8129,9,10,0,7,0.7308,0.7812,1.0,0.5625,0.72,0.5882,1.0,0.0,0.4375
0.81315,8,10,0,8,0.6923,0.75,1.0,0.5,0.6667,0.5556,1.0,0.0,0.5
0.8134,8,10,0,8,0.6923,0.75,1.0,0.5,0.6667,0.5556,1.0,0.0,0.5
0.8141,7,10,0,9,0.6538,0.7188,1.0,0.4375,0.6087,0.5263,1.0,0.0,0.5625
0.8148,7,10,0,9,0.6538,0.7188,1.0,0.4375,0.6087,0.5263,1.0,0.0,0.5625
0.81715,6,10,0,10,0.6154,0.6875,1.0,0.375,0.5455,0.5,1.0,0.0,0.625
0.8195,6,10,0,10,0.6154,0.6875,1.0,0.375,0.5455,0.5,1.0,0.0,0.625
0.82,5,10,0,11,0.5769,0.6562,1.0,0.3125,0.4762,0.4762,1.0,0.0,0.6875
0.8204,5,10,0,11,0.5769,0.6562,1.0,0.3125,0.4762,0.4762,1.0,0.0,0.6875
0.8213,5,10,0,11,0.5769,0.6562,1.0,0.3125,0.4762,0.4762,1.0,0.0,0.6875
0.83,4,10,0,12,0.5385,0.625,1.0,0.25,0.4,0.4545,1.0,0.0,0.75
0.84,4,10,0,12,0.5385,0.625,1.0,0.25,0.4,0.4545,1.0,0.0,0.75
0.84015,4,10,0,12,0.5385,0.625,1.0,0.25,0.4,0.4545,1.0,0.0,0.75
0.85,4,10,0,12,0.5385,0.625,1.0,0.25,0.4,0.4545,1.0,0.0,0.75
0.859,4,10,0,12,0.5385,0.625,1.0,0.25,0.4,0.4545,1.0,0.0,0.75
0.85905,3,10,0,13,0.5,0.5938,1.0,0.1875,0.3158,0.4348,1.0,0.0,0.8125
0.8591,3,10,0,13,0.5,0.5938,1.0,0.1875,0.3158,0.4348,1.0,0.0,0.8125
0.86115,2,10,0,14,0.4615,0.5625,1.0,0.125,0.2222,0.4167,1.0,0.0,0.875
0.8632,2,10,0,14,0.4615,0.5625,1.0,0.125,0.2222,0.4167,1.0,0.0,0.875
0.86345,1,10,0,15,0.4231,0.5312,1.0,0.0625,0.1176,0.4,1.0,0.0,0.9375
0.8637,1,10,0,15,0.4231,0.5312,1.0,0.0625,0.1176,0.4,1.0,0.0,0.9375
1.0,0,10,0,16,0.3846,0.5,1.0,0.0,0.0,0.3846,1.0,0.0,1.0
